#,lsc,ec,st_nr,street_name ,abbr,dir,muncipality,community,list_price,sold_price,type,style,br,addi,wr,fam,kit,garage_type,a/c,heat,contract,sold,list_brokerage,co_op brokerage,mls,,
26,Sld,,299,Pressed Br,Dr,N,Brampton,Brampton N  ,"$699,900","$760,000",Semi-Detac,2-Storey,3,1,3,N,1,Built-   ,Cen,Gas,10-05-2021,11-05-2021,CENTURY 21,CENTURY 21 PE,W5228869,,
27,Sld,,20,Wilton,Dr,,Brampton,Brampton E  ,"$699,999","$745,000",Semi-Detac,Backsplit,4,0,3,N,1,None   ,Non,Gas,15-01-2021,16-01-2021,HOMELIFE/MI,CENTURY 21 LE,W5085250,,
28,Sld,,43,Alabaster,Dr,,Brampton,Brampton N ,"$700,000","$851,000",Detached,2-Storey,3,0,2,N,1,Attach  ,Cen,Gas,26-01-2021,27-01-2021,IPRO REALTY,HOMELIFE SILV,W5094444,,
29,Sld,N,96,Salisbury,Circ,,Brampton,Brampton N  ,"$719,000","$748,100",Semi-Detac,2-Storey,3,0,2,y,1,Attach  ,Cen,Gas,16-12-2020,12-01-2021,RE/MAX ABOU,PROPERTY MAX,W5066350,,
30,Sld,,36,Garfield,Cres,,Brampton,Brampton N ,"$719,000","$830,000",Semi-Detac,Backsplit,4,0,2,y,2,None   ,Cen,Gas,06-02-2021,08-02-2021,BETTER HOME,CENTURY 21 PE,W5106989,,
31,Sld,,87,Brickyard,Way,,Brampton,Brampton N,"$725,000","$830,000",Att/Row/Tw,2-Storey,3,0,3,y,1,Built-   ,Cen,Gas,18-01-2021,21-01-2021,CENTURY 21,HOMELIFE SILV,W5086834,,
32,Sld,,141,Vodden,St,E,Brampton,Brampton N  ,"$729,900","$831,000",Semi-Detac    ,Bungalow-R,4,2,2,N,1,None,Cen,Gas,11-02-2021,02-14-2021  ,IPRO REALTY,HOMELIFE/RESP,W5111846,,
33,Sld,,4,Dean,St,,Brampton,Brampton E ,"$729,900","$825,000",Semi-Detac   ,Bungalow-R ,3,1,2,N,1,None,Cen,Gas,04-03-2021,03-08-2021 ,RE/MAX REAL,HOMELIFE MAPL,W5136845,,
34,Sld,,46,Honeyview,Tr,,Brampton,Brampton E  ,"$734,900","$820,900",Att/Row/Tw         ,2-Storey ,2,0,3,N,1,Attach,Cen,Gas,11-02-2021,02-16-2021 ,ROYAL LEPAG,SAVE MAXACHI,W5112080,,
35,Sld,,78,Mccaul,St,,Brampton,Brampton N ,"$749,000","$800,000",Detached   ,1 1/2 Stor,3,0,2,N,1,None,Cen,Gas,04-02-2021,02-11-2021   ,CENTURY 21,CENTURY 21 PE,W5104934,,
36,Sld,,55,Woodward,Ave,,Brampton,Brampton N ,"$749,000","$765,000",Detached  ,Bungalow   ,3,0,1,N,1,Detach ,Cen,Gas,20-02-2021,02-28-2021,SINGH BROTH,SINGH BROTHER,W5122109,,
37,Sld,,22,Dean,St,,Brampton,Brampton E  ,"$749,000","$785,000",Semi-Detac     ,Bungalow   ,3,1,2,N,1,None,Cen,Gas,22-03-2021,03-28-2021  ,HOMELIFE/MI,RE/MAX REALE,W5161774,,
38,Sld,N,93,Quarry Edg,Dr,,Brampton,Brampton N,"$749,000","$805,000",Att/Row/Tw         ,2-Storey ,3,2,3,N,1,Attach,Cen,Gas,05-04-2021,04-22-2021  ,RE/MAX MILL,AMDIRECT REAL,W5179849,,
39,Sld,,100,Elderwood,Pl,,Brampton,Brampton N  ,"$749,000","$765,000",Detached        ,Backsplit  ,3,1,2,y,1,Built-,Cen,Gas,14-04-2021,04-15-2021,ROYAL LEPAG,KING REALTY I,W5194176,,
