#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1049,Sld,,27,Drayton,Cres,,Brampton,Brampton C," $849,900 "," $855,013 ",Detached,Bungalow,3,0,2,N,1,Attach,Cen,Gas,4-22-21,4-27-21,CENTURY 21,CENTURY 21 PR,W5206054
1050,Sld,,78,Dorset,Dr,,Brampton,Brampton C," $849,998 "," $942,901 ",Detached,Bungalow,3,2,2,N,1,Detach,Cen,Gas,3-19-21,3-22-21,RE/MAX REAL,RE/MAX REALTY,W5160456
1051,Sld,,8,Dowling,Cres,,Brampton,Brampton C," $849,999 "," $955,000 ",Detached,Bungalow,3,0,2,N,1,Attach,Cen,Gas,2-26-21,3-9-21,HOMELIFE/MI,ROYAL LEPAGE,W5128799
1052,Sld,,28,Darlington,Cres,,Brampton,Brampton C," $849,999 "," $845,000 ",Semi-Detac,Backsplit,3,1,2,N,1,Attach,Cen,Gas,3-26-21,4-8-21,HOMELIFE/MI,ROYAL LEPAGE,W5168839
1053,Sld,,37,Deloraine,Dr,,Brampton,Brampton C," $858,800 "," $966,000 ",Detached,Bungalow,3,0,2,N,1,None,Cen,Gas,4-20-21,4-25-21,RE/MAX REAL,RE/MAX REALTY,W5201260
1054,Sld,,17,Twin Willo,Cres,,Brampton,Brampton N," $874,900 "," $875,095 ",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,3-28-21,4-16-21,RE/MAX REAL,SUTTON GROUP,W5170769
1055,Sld,,42,Flavian,Cres,,Brampton,Brampton C," $879,000 "," $918,000 ",Detached,Bungalow,3,1,2,N,1,None,Cen,Gas,4-28-21,5-5-21,HOME & COND,HOMELIFE/MIRA,W5211452
1056,Sld,,33,Elrose,Rd,,Brampton,Brampton C," $879,900 "," $874,000 ",Detached,Backsplit,3,1,2,N,1,None,Cen,Gas,3-10-21,3-29-21,RE/MAX REAL,HOMELIFE/MIRA,W5146010
1057,Sld,,2,Deloraine,Dr,,Brampton,Brampton C," $879,900 "," $925,000 ",Detached,2-Storey,3,1,2,N,1,Detach,Cen,Gas,3-11-21,3-15-21,RE/MAX REAL,ROYAL LEPAGE,W5148073
1058,Sld,,20,Edenboroug,Dr,,Brampton,Brampton C," $879,900 "," $890,000 ",Detached,Bungalow-R,3,2,2,N,1,None,Cen,Gas,3-16-21,3-25-21,ROYAL LEPAG,SAVE MAX SUPR,W5153861
1059,Sld,,9,Durham,Cres,,Brampton,Brampton C," $879,999 "," $905,000 ",Detached,Bungalow,3,0,2,N,1,Attach,Cen,Gas,2-19-21,2-20-21,HOMELIFE/MI,HOMELIFE LIBE,W5122462
1060,Sld,,12,Elrose,Rd,,Brampton,Brampton C," $889,900 "," $995,000 ",Detached,Bungalow,3,2,3,N,1,Attach,Cen,Gas,3-2-21,3-9-21,CENTURY 21,ROYAL LEPAGE,W5132916
1061,Sld,,4,Deloraine,Dr,,Brampton,Brampton C," $895,000 "," $928,000 ",Detached,Bungalow,3,3,2,Y,2,None,Cen,Gas,1-21-21,1-23-21,RE/MAX REAL,RE/MAX GOLD R,W5090997
1062,Sld,,155,Folkstone,Cres,,Brampton,Brampton C," $897,000 "," $975,000 ",Detached,Bungalow,3,2,3,N,1,None,Cen,Gas,5-10-21,5-14-21,ROYAL LEPAG,TFN REALTY IN,W5228891
1063,Sld,,32,Flavian,Cres,,Brampton,Brampton C," $898,000 "," $950,000 ",Detached,Bungalow,3,2,2,N,1,Detach,Cen,Gas,3-29-21,4-5-21,ROYAL LEPAG,INTERCITY REA,W5170945
1064,Sld,N,51,Twin Willo,Cres,,Brampton,Brampton N," $898,800 "," $885,000 ",Detached,2-Storey,3,0,2,N,1,Built-,Cen,Gas,4-20-21,5-19-21,RE/MAX REAL,RE/MAX REALTY,W5202104
