#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1,Sld,,38,Scarsdale,Crt,,Brampton,Brampton W," $599,000 "," $681,000 ",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,3-16-21,3-23-21,RE/MAX WEST,RE/MAX REALTY,W5153139
2,Sld,,55,Corby,Cres,,Brampton,Brampton W," $599,900 "," $767,000 ",Semi-Detac,Bungalow,3,1,2,N,1,None,Cen,Oil,2-23-21,2-26-21,RE/MAX REAL,HOMELIFE/MIRA,W5125388
3,Sld,,7,Manett,Cres,,Brampton,Brampton W," $699,000 "," $818,500 ",Att/Row/Tw,2-Storey,3,1,3,N,1,Attach,Cen,Gas,1-21-21,1-26-21,RE/MAX REAL,HOMELIFE/MIRA,W5091089
4,Sld,,76,Fairglen,Ave,,Brampton,Brampton W," $699,500 "," $726,000 ",Semi-Detac,Bungalow,2,1,2,N,1,None,Cen,Gas,3-16-21,3-17-21,"EXP REALTY,",ROYALSTARRE,W5153813
5,Sld,,121,Richwood,Cres,,Brampton,Brampton W," $699,900 "," $731,000 ",Att/Row/Tw,2-Storey,3,0,3,N,1,Built-,Cen,Gas,2-21-21,2-26-21,RE/MAX REAL,ROYAL LEPAGE,W5123258
6,Sld,N,56,Spadina,Rd,,Brampton,Brampton W," $699,900 "," $711,000 ",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,3-9-21,3-29-21,IPRO REALTY,HOMELIFE/MIRA,W5143468
7,Sld,,10,Ridler,Crt,,Brampton,Brampton W," $699,900 "," $775,000 ",Semi-Detac,2-Storey,3,1,2,N,1,Attach,Cen,Gas,4-20-21,4-22-21,HOMELIFE MA,RE/MAX REALTY,W5201812
8,Sld,,8,Ridler,Crt,,Brampton,Brampton W," $699,999 "," $780,000 ",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,2-21-21,2-27-21,IPRO REALTY,HOMELIFE/MIRA,W5122690
9,Sld,,19,Murray,St,,Brampton,Brampton W," $729,000 "," $724,000 ",Detached,1 1/2 Stor,2,1,2,N,1,None,Cen,Gas,1-24-21,2-2-21,CENTURY 21,ROYAL LEPAGE,W5093449
10,Sld,,107,Royal Vist,Rd,,Brampton,Brampton W," $749,000 "," $858,000 ",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,1-14-21,1-18-21,HOMELIFE/MI,ROYAL LEPAGE,W5084970
11,Sld,,94,Ecclestone,Dr,,Brampton,Brampton W," $749,000 "," $820,000 ",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,3-6-21,3-7-21,CENTURY 21,HOMELIFE MAPL,W5141069
12,Sld,,8,Slater,Circ,,Brampton,Brampton W," $749,000 "," $880,000 ",Detached,Backsplit,3,1,3,y,1,Attach,Cen,Gas,4-22-21,4-26-21,HOMELIFE SI,CENTURY 21 LE,W5205729
13,Sld,,21,Merrickvil,Way,,Brampton,Brampton W," $750,000 "," $930,000 ",Att/Row/Tw,2-Storey,4,0,4,y,1,Built-,Cen,Gas,3-18-21,3-25-21,PROPERTY MA,SUTTON GROUP,W5157476
14,Sld,,53,Royal Orch,Dr,,Brampton,Brampton W," $752,500 "," $825,000 ",Detached,Bungalow,2,2,2,N,1,Attach,Cen,Gas,3-11-21,3-25-21,IPRO REALTY,RE/MAX GOLD R,W5147651
15,Sld,,34,Pefferlaw,Circ,,Brampton,Brampton W," $769,500 "," $865,000 ",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,1-13-21,1-14-21,RE/MAX GOLD,HOMELIFE/MIRA,W5083558
16,Sld,,159,Saddletree,Tr,,Brampton,Brampton W," $777,000 "," $890,000 ",Semi-Detac,2-Storey,3,0,4,y,1,Attach,Cen,Gas,3-17-21,3-24-21,ROYAL LEPAG,RE/MAX MILLEN,W5154975
17,Sld,,19,October,Pl,,Brampton,Brampton W," $779,000 "," $844,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,2-10-21,2-11-21,IPRO REALTY,HOMELIFE MAPL,W5110391
18,Sld,N,47,Arizona,Dr,,Brampton,Brampton W," $785,000 "," $815,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,1-31-21,2-19-21,RE/MAX GOLD,CENTURY 21 EM,W5106025
19,Sld,,27,Banner,Rd,,Brampton,Brampton W," $789,000 "," $870,000 ",Detached,2-Storey,3,1,4,y,1,Attach,Cen,Gas,4-7-21,4-12-21,RE/MAX REAL,SAVE MAX FIRS,W5185347
20,Sld,,39,October,Pl,,Brampton,Brampton W," $799,000 "," $800,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Attach,Cen,Gas,1-28-21,2-13-21,SAVE MAX Fl,RE/MAX REALE,W5099792
21,Sld,,11,Berringer,Grve,,Brampton,Brampton W," $799,000 "," $836,000 ",Att/Row/Tw,3-Storey,3,1,4,y,1,Built-,Cen,Gas,2-1-21,2-8-21,HOMELIFE/MI,"EXP REALTY, B",W5100730
22,Sld,,9,Coastline,Dr,,Brampton,Brampton W," $799,000 "," $880,000 ",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,2-5-21,2-10-21,RE/MAX ESCA,CENTURY 21 PA,W5106252
23,Sld,,100,Sky Harbou,Dr,,Brampton,Brampton W," $799,000 "," $900,000 ",Att/Row/Tw,2-Storey,3,0,4,N,1,Built-,Cen,Gas,3-3-21,3-8-21,COLDWELL BA,CENTURY 21 GR,W5135489
24,Sld,,44,Arizona,Dr,,Brampton,Brampton W," $799,000 "," $835,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Attach,Cen,Gas,3-24-21,3-26-21,TRIMAXX REA,HOMELIFE/MIRA,W5165505
25,Sld,,9,October,Pl,,Brampton,Brampton W," $799,000 "," $822,500 ",Att/Row/Tw,3-Storey,3,1,4,y,1,Attach,Cen,Gas,3-31-21,4-6-21,RE/MAX REAL,SAVE MAX REAL,W5174822
26,Sld,,37,Hatton,Crt,,Brampton,Brampton W," $799,000 "," $892,000 ",Att/Row/Tw,2-Storey,3,0,3,y,1,Built-,Cen,Gas,4-15-21,4-19-21,RE/MAX REAL,"EXP REALTY, B",W5196236
27,Sld,,16,Horsham,St,,Brampton,Brampton W," $799,900 "," $820,000 ",Detached,2-Storey,3,2,4,y,1,Attach,Cen,Gas,1-6-21,1-11-21,SAVE MAX PR,SUTTON GROUP,W5077386
28,Sld,N,5,Urbana,Rd,,Brampton,Brampton W," $799,900 "," $810,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,1-19-21,1-26-21,HOMELIFE TO,HOMELIFE/MIRA,W5088314
29,Sld,,41,Royal Orch,Dr,,Brampton,Brampton W," $799,900 "," $900,000 ",Detached,Bungalow-R,2,2,2,N,1,Attach,Cen,Gas,3-19-21,4-22-21,RE/MAX CHAM,RE/MAX CHAMPI,W5159143
30,Sld,,8,Isle Royal,Terr,,Brampton,Brampton W," $799,900 "," $922,501 ",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,3-21-21,3-22-21,SAVE MAX EL,SAVE MAX ELIT,W5161021
31,Sld,,47,Lady Evely,Cres,,Brampton,Brampton W," $799,900 "," $929,500 ",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,3-24-21,3-28-21,RE/MAX REAL,UNIVERSAL REA,W5164629
32,Sld,,10,Temple Man,Rd,,Brampton,Brampton W," $799,900 "," $930,000 ",Att/Row/Tw,2-Storey,3,0,3,y,1,Built-,Cen,Gas,4-27-21,5-2-21,ROYAL LEPAG,HOMELIFE G1 R,W5210920
33,Sld,,48,English,St,,Brampton,Brampton W," $799,990 "," $872,000 ",Semi-Detac,Bungalow-R,3,1,2,N,1,Built-,Cen,Gas,2-9-21,2-11-21,SPECTRUM RE,HOMELIFE/MIRA,W5109471
34,Sld,,61,Pefferlaw,Circ,,Brampton,Brampton W," $799,999 "," $909,000 ",Att/Row/Tw,3-Storey,3,1,4,y,1,Built-,Cen,Gas,2-26-21,3-4-21,HOMELIFE/MI,CENTURY 21 BE,W5129452
35,Sld,,56,Gammon,Cres,,Brampton,Brampton W," $799,999 "," $878,000 ",Att/Row/Tw,2-Storey,4,0,3,y,1,Attach,Cen,Gas,3-10-21,3-15-21,HOMELIFE/MI,SAVE MAX SUPR,W5145469
36,Sld,,22,Hubbell,Rd,,Brampton,Brampton W," $800,000 "," $1,095,000 ",Semi-Detac,2-Storey,4,0,4,y,1,Attach,Cen,Gas,4-9-21,4-11-21,RE/MAX REAL,RE/MAX REALE,W5188687
37,Sld,,5,Berringer,Grve,,Brampton,Brampton W," $825,000 "," $818,000 ",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,4-7-21,4-17-21,HOMELIFE TO,TRIMAXX REALT,W5183803
38,Sld,,88,Sky Harbou,Dr,,Brampton,Brampton W," $828,800 "," $930,000 ",Att/Row/Tw,2-Storey,3,0,4,N,1,Attach,Cen,Gas,3-24-21,3-31-21,KELLER WILL,CENTURY 21 LE,W5166074
39,Sld,,102,Charcoal,Way,,Brampton,Brampton W," $829,900 "," $865,000 ",Att/Row/Tw,2-Storey,3,1,4,y,1,Attach,Cen,Gas,3-3-21,3-16-21,CENTURY 21,ROYAL LEPAGE,W5135362
40,Sld,,35,Krakow,St,,Brampton,Brampton W," $849,900 "," $875,000 ",Semi-Detac,2-Storey,4,0,3,y,1,Built-,Cen,Gas,1-27-21,1-27-21,RE/MAX REAL,RE/MAX COMMUN,W5095869
41,Sld,,37,Oliana,Way,,Brampton,Brampton W," $849,900 "," $920,000 ",Att/Row/Tw,2-Storey,3,1,3,N,1,Built-,Cen,Gas,3-4-21,3-14-21,RE/MAX REAL,HOMELIFE SUPE,W5136630
42,Sld,N,101,Ecclestone,Dr,,Brampton,Brampton W," $849,900 "," $855,000 ",Detached,2-Storey,3,0,3,N,1,Attach,Cen,Gas,3-18-21,4-6-21,HOMELIFE CU,HOMELIFE SILV,W5157671
43,Sld,,36,Pearman,Cres,,Brampton,Brampton W," $849,999 "," $885,000 ",Att/Row/Tw,2-Storey,3,0,3,Y,1,Attach,Cen,Gas,1-25-21,1-25-21,SAVE MAX FO,SAVE MAX SUPR,W5094084
44,Sld,N,9,Shediac,Rd,,Brampton,Brampton W," $849,999 "," $860,000 ",Att/Row/Tw,2-Storey,4,0,3,Y,1,Attach,Cen,Gas,2-1-21,2-2-21,RIGHT AT HO,RIGHT AT HOME,W5100320
45,Sld,N,100,Aspen Hill,Rd,,Brampton,Brampton W," $850,000 "," $850,000 ",Att/Row/Tw,3-Storey,3,1,3,N,1,Attach,Cen,Gas,2-13-21,2-14-21,RIGHT AT HO,CENTURY21 PE,W5115411
46,Sld,,23,Krakow,St,,Brampton,Brampton W," $875,000 "," $935,000 ",Semi-Detac,2-Storey,3,1,4,N,1,Attach,Cen,Gas,2-6-21,2-11-21,HOMELIFE G1,HOMELIFE/MIRA,W5106953
47,Sld,N,16,Ecclestone,Dr,,Brampton,Brampton W," $879,000 "," $863,000 ",Detached,2-Storey,3,1,3,Y,2,Attach,Cen,Gas,3-11-21,3-28-21,IPRO REALTY,ROYAL LEPAGE,W5147922
48,Sld,,15,Sky Harbou,Dr,,Brampton,Brampton W," $879,888 "," $925,100 ",Att/Row/Tw,2-Storey,3,0,3,Y,1,Attach,Cen,Gas,4-13-21,4-19-21,RE/MAX ROYA,HOMELIFE/MIRA,W5191921
49,Sld,,103,Nathaniel,Cres,,Brampton,Brampton W," $879,900 "," $940,000 ",Semi-Detac,2-Storey,4,1,4,N,1,Attach,Cen,Gas,3-11-21,3-16-21,HOMELIFE/MI,TRIMAXX REALT,W5147262
50,Sld,N,39,Nathaniel,Cres,,Brampton,Brampton W," $879,900 "," $881,000 ",Semi-Detac,2-Storey,3,0,4,N,1,Built-,Cen,Gas,3-30-21,4-23-21,RE/MAX REAL,REALTRIUM REA,W5172414
51,Sld,,21,Charcoal,Way,,Brampton,Brampton W," $879,999 "," $950,555 ",Semi-Detac,2-Storey,3,1,4,N,1,Built-,Cen,Gas,2-11-21,2-16-21,HOMELIFE MA,RE/MAX REALTY,W5111758
52,Sld,N,14,Oakmore,Lane,,Brampton,Brampton W," $887,990 "," $888,000 ",Att/Row/Tw,3-Storey,3,0,4,y,1,Built-,Cen,Gas,11-2-20,1-27-21,RE/MAX REAL,CENTURY 21 PE,W4975376
53,Sld,N,66,Millhouse,Mews,,Brampton,Brampton W," $888,888 "," $888,888 ",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,4-16-21,4-24-21,KELLER WILL,RIGHT AT HOME,W5198055
54,Sld,,8654,Financial,Dr,,Brampton,Brampton W," $889,000 "," $985,000 ",Att/Row/Tw,3-Storey,4,1,4,y,1,Built-,Cen,Gas,2-22-21,2-26-21,RE/MAX REAL,RE/MAX REALTY,W5123837
55,Sld,,12,Tessler,Cres,,Brampton,Brampton W," $889,900 "," $875,000 ",Semi-Detac,2-Storey,3,1,4,N,1,Built-,Cen,Gas,3-30-21,4-5-21,CENTURY 21,CENTURY 21 GR,W5172700
56,Sld,,99,Nathaniel,Cres,,Brampton,Brampton W," $889,900 "," $950,000 ",Semi-Detac,2-Storey,3,1,4,y,1,Built-,Cen,Gas,3-31-21,4-3-21,SUTTON GROU,RE/MAX REALE,W5174063
57,Sld,,6,Ashdale,Rd,,Brampton,Brampton W," $898,000 "," $985,000 ",Semi-Detac,2-Storey,3,1,4,y,1,Built-,Cen,Gas,4-28-21,5-1-21,RE/MAX MILL,ROYAL LEPAGE,W5211888
58,Sld,N,113,Sky Harbou,Dr,,Brampton,Brampton W," $899,000 "," $910,000 ",Att/Row/Tw,2-Storey,3,1,4,y,1,Built-,Cen,Gas,12-31-20,1-5-21,RE/MAX REAL,ROYAL LEPAGE,W5072811
59,Sld,,12,Dalbeattie,Dr,,Brampton,Brampton W," $899,000 "," $1,080,000 ",Att/Row/Tw,2-Storey,4,0,3,y,1,Built-,Non,Gas,2-11-21,2-16-21,HOMELIFE/MI,CITYSCAPE REA,W5112413
60,Sld,,143,Royal Orch,Dr,,Brampton,Brampton W," $899,000 "," $987,000 ",Detached,2-Storey,3,2,4,y,1,Attach,Cen,Gas,2-22-21,2-25-21,RE/MAX REAL,RE/MAX MILLEN,W5123588
61,Sld,,49,Brushwood,Dr,,Brampton,Brampton W," $899,000 "," $1,050,000 ",Att/Row/Tw,2-Storey,4,0,3,y,1,Built-,Cen,Gas,3-3-21,3-5-21,RE/MAX REAL,CITYSCAPE REA,W5134551
62,Sld,,24,Hubbell,Rd,,Brampton,Brampton W," $899,000 "," $1,090,000 ",Semi-Detac,2-Storey,4,0,4,y,1,Attach,Cen,Gas,3-19-21,3-20-21,RE/MAX REAL,RE/MAX REALE,W5158780
63,Sld,,12,Banner Rd,Rd,,Brampton,Brampton W," $899,000 "," $900,000 ",Detached,2-Storey,4,1,4,y,1,Attach,Cen,Gas,4-2-21,4-10-21,HOMELIFE/MI,CENTURY 21 PE,W5178302
64,Sld,,111,Sky Harbou,Dr,,Brampton,Brampton W," $899,900 "," $890,000 ",Att/Row/Tw,2-Storey,3,0,3,y,1,Built-,Cen,Gas,1-16-21,1-17-21,RE/MAX GOLD,RE/MAX REALE,W5086122
65,Sld,,42,Tessler,Cres,,Brampton,Brampton W," $899,900 "," $875,000 ",Semi-Detac,2-Storey,3,1,4,y,1,Built-,Cen,Gas,2-8-21,2-22-21,NON-TREB BO,RE/MAX REALTY,W5108521
66,Sld,,8622,Financial,Dr,,Brampton,Brampton W," $899,900 "," $995,000 ",Att/Row/Tw,3-Storey,4,0,4,y,1,Attach,Cen,Gas,2-19-21,2-20-21,RE/MAX REAL,"ZOLO REALTY,",W5121512
67,Sld,,86,Maddybeth,Cres,,Brampton,Brampton W," $899,900 "," $975,000 ",Detached,2-Storey,3,1,4,y,1,Built-,Cen,Gas,3-12-21,3-12-21,CITYSCAPE R,HOME LIFE/MIRA,W5148681
68,Sld,,34,Millhouse,Mews,,Brampton,Brampton W," $899,988 "," $980,000 ",Att/Row/Tw,2-Storey,4,0,3,Y,1,Built-,Cen,Gas,1-15-21,1-18-21,ZUMIN REAL,ZUMIN REAL ES,W5086062
69,Sld,,46,Rising Hil,Rdge,,Brampton,Brampton W," $899,999 "," $1,100,000 ",Semi-Detac,2-Storey,4,2,5,y,1,Built-,Cen,Gas,1-16-21,1-20-21,ROYAL LEPAG,RE/MAX REALE,W5086312
70,Sld,,2,Merrickvil,Way,,Brampton,Brampton W," $899,999 "," $1,050,000 ",Att/Row/Tw,2-Storey,3,1,4,y,1,Attach,Cen,Gas,1-27-21,1-31-21,RE/MAX REAL,CANADIAN REAL,W5095387
71,Sld,,1,Sky Harbou,Dr,,Brampton,Brampton W," $929,000 "," $1,070,000 ",Att/Row/Tw,2-Storey,3,0,4,y,1,Attach,Cen,Gas,3-6-21,3-8-21,RE/MAX REAL,TRIMAXX REALT,W5140272
72,Sld,,43,Edinburgh,Dr,,Brampton,Brampton W," $950,000 "," $1,111,000 ",Semi-Detac,2-Storey,4,1,3,y,1,Attach,Cen,Gas,1-13-21,1-18-21,ROYAL LEPAG,RR GROUP REAL,W5083871
73,Sld,,102,Maddybeth,Cres,,Brampton,Brampton W," $974,900 "," $960,000 ",Detached,2-Storey,3,1,4,Y,1,Built-,Cen,Gas,3-25-21,4-1-21,HOMELIFE SU,KING REALTY I,W5167840
74,Sld,,70,Millhouse,Mews,,Brampton,Brampton W," $975,000 "," $1,005,000 ",Att/Row/Tw,2-Storey,4,0,3,Y,1,Built-,Cen,Gas,3-25-21,3-27-21,RE/MAX PROF,CENTURY 21 GR,W5166659
75,Sld,,16,Pefferlaw,Circ,,Brampton,Brampton W," $979,900 "," $967,000 ",Semi-Detac,2-Storey,3,1,4,N,1,Built-,Cen,Gas,4-19-21,4-20-21,NEW AGE REA,HOMELIFE/MIRA,W5200446
76,Sld,,40,Krakow,St,,Brampton,Brampton W," $989,000 "," $1,085,000 ",Detached,2-Storey,4,2,4,y,1,Attach,Cen,Gas,1-6-21,1-7-21,ROYAL LEPAG,TRIMAXX REALT,W5076659
77,Sld,,52,Krakow,St,,Brampton,Brampton W," $989,000 "," $1,051,000 ",Detached,2-Storey,3,2,4,N,1,Attach,Cen,Gas,2-5-21,2-15-21,TRIMAXX REA,TRIMAXX REALT,W5106439
78,Sld,,8644,Financial,Dr,,Brampton,Brampton W," $994,900 "," $975,000 ",Att/Row/Tw,3-Storey,4,1,4,y,1,Attach,Cen,Gas,3-1-21,3-9-21,CENTURY 21,"EXP REALTY, B",W5132256
79,Sld,,42,Rising Hil,Rdge,,Brampton,Brampton W," $998,888 "," $1,150,888 ",Semi-Detac,2-Storey,4,2,5,Y,1,Built-,Cen,Gas,2-2-21,2-2-21,SAM MCDADI,RE/MAX REALTY,W5101183
80,Sld,,41,Amboise,Cres,,Brampton,Brampton W," $999,000 "," $980,000 ",Detached,2-Storey,3,1,4,Y,1,Attach,Cen,Gas,2-14-21,2-23-21,HOMELIFE G1,HOMELIFE/MIRA,W5117088
81,Sld,,22,Dalbeattie,Dr,,Brampton,Brampton W," $999,900 "," $1,055,000 ",Att/Row/Tw,2-Storey,4,0,3,Y,1,Attach,Cen,Gas,4-2-21,4-7-21,RE/MAX REAL,HOMELIFE/MIRA,W5177928
82,Sld,,63,Polonia,Ave,,Brampton,Brampton W," $999,900 "," $1,035,000 ",Detached,2-Storey,3,0,3,N,1,Built-,Cen,Gas,4-8-21,4-9-21,NEW AGE REA,NEW AGE REAL,W5186439
83,Sld,,43,Charcoal,Way,,Brampton,Brampton W," $999,900 "," $1,175,000 ",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,4-30-21,5-3-21,RE/MAX REAL,CENTURY 21 IN,W5215758
84,Sld,,18,Millhouse,Mews,,Brampton,Brampton W," $999,901 "," $1,150,000 ",Att/Row/Tw,2-Storey,4,2,5,y,1,Attach,Cen,Gas,2-10-21,2-15-21,RE/MAX GOLD,EXECUTIVE REA,W5111417
85,Sld,,13,Hubbell,Rd,,Brampton,Brampton W," $999,999 "," $1,075,000 ",Semi-Detac,2-Storey,4,1,4,y,1,Attach,Cen,Gas,3-26-21,4-5-21,ROYAL LEPAG,RIGHT AT HOME,W5168780
86,Sld,,25,Grover,Rd,,Brampton,Brampton W," $999,999 "," $1,210,000 ",Detached,2-Storey,4,2,4,N,1,Built-,Cen,Gas,4-7-21,4-12-21,KING REALTY,CENTURY 21 PE,W5183253
87,Sld,,18,Perdita,Rd,,Brampton,Brampton W," $1,049,900 "," $1,255,000 ",Semi-Detac,2-Storey,4,1,5,N,1,Attach,Cen,Electr,3-31-21,4-4-21,SUTTON GROU,RE/MAX REALE,W5174220
88,Sld,,8,Dancing Wa,Rd,,Brampton,Brampton W," $1,049,999 "," $1,130,000 ",Semi-Detac,2-Storey,4,2,4,y,1,Attach,Cen,Gas,2-8-21,2-9-21,RE/MAX REAL,RE/MAX GOLD R,W5108282
89,Sld,,14,Ness,Rd,,Brampton,Brampton W," $1,050,000 "," $1,120,000 ",Detached,2-Storey,3,1,4,y,1,Built-,Cen,Gas,2-19-21,2-23-21,RE/MAX REAL,HOMELIFE/MIRA,W5121100
90,Sld,,29,Fallharves,Ave,,Brampton,Brampton W," $1,095,000 "," $1,180,000 ",Detached,2-Storey,3,1,4,y,1,Attach,Cen,Gas,4-9-21,4-11-21,CENTURY 21,HOMELIFE MAPL,W5187199
91,Sld,,24,Fallharves,Ave,,Brampton,Brampton W," $1,095,000 "," $1,095,000 ",Detached,2-Storey,3,0,4,y,1,Attach,Cen,Gas,4-29-21,5-4-21,KELLER WILL,HOMELIFE/FUTU,W5214493
92,Sld,,27,Fahey,Dr,,Brampton,Brampton W," $1,099,000 "," $1,300,000 ",Detached,2-Storey,4,1,5,y,1,Carpor,Cen,Gas,2-25-21,3-1-21,ROYAL LEPAG,HOMELIFE G1 R,W5128440
93,Sld,,55,Hubbell,Rd,,Brampton,Brampton W," $1,099,000 "," $1,150,000 ",Semi-Detac,2-Storey,4,2,4,N,1,Built-,Cen,Gas,3-9-21,3-22-21,RE/MAX REAL,RE/MAX REALE,W5144054
94,Sld,,20,Goldnugget,Rd,,Brampton,Brampton W," $1,099,900 "," $1,230,000 ",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,2-12-21,2-16-21,ROYAL LEPAG,SUTTON GROUP,W5114843
95,Sld,,4,Pergola,Way,,Brampton,Brampton W," $1,099,900 "," $1,185,000 ",Detached,2-Storey,4,0,3,y,1,Built-,Cen,Gas,3-6-21,3-9-21,RE/MAX REAL,RE/MAX REALTY,W5140520
96,Sld,,18,Stephanie,Ave,,Brampton,Brampton W," $1,099,900 "," $1,090,000 ",Detached,2-Storey,3,1,4,y,1,Attach,Cen,Gas,4-19-21,5-7-21,HOME VISION,NON-TRREB BOA,W5200247
97,Sld,,8,Maddybeth,Cres,,Brampton,Brampton W," $1,099,900 "," $1,220,000 ",Detached,2-Storey,4,2,5,y,1,Built-,Cen,Gas,4-23-21,4-27-21,CLOUD REALT,RE/MAX REALE,W5206432
98,Sld,,73,Pantomine,Blvd,,Brampton,Brampton W," $1,139,900 "," $1,095,000 ",Detached,2-Storey,4,1,4,y,1,Attach,Cen,Gas,3-19-21,3-29-21,ROYAL STAR,INTERCITY REA,W5159483
99,Sld,,34,Tatra,Cres,,Brampton,Brampton W," $1,149,900 "," $1,125,000 ",Detached,2-Storey,4,1,4,y,1,Built-,Cen,Gas,4-15-21,4-16-21,CENTURY 21,RIGHT AT HOME,W5195298
100,Sld,,4,Fallharves,Ave,,Brampton,Brampton W," $1,149,900 "," $1,185,000 ",Detached,2-Storey,4,2,4,y,2,Built-,Cen,Gas,4-22-21,4-28-21,HOMELIFE SU,HOMELIFE/FUTU,W5204863
101,Sld,,20,Oblate,Cres,,Brampton,Brampton W," $1,150,000 "," $1,120,000 ",Detached,2-Storey,4,1,4,N,1,Built-,Cen,Gas,3-12-21,3-23-21,RE/MAX REAL,RE/MAX REALE,W5149238
102,Sld,,4,Ferdinand,Dr,,Brampton,Brampton W," $1,199,000 "," $1,350,000 ",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,1-6-21,1-14-21,SPECTRUM RE,HOMELIFE/MIRA,W5077097
103,Sld,,28,Taira,Cres,,Brampton,Brampton W," $1,199,000 "," $1,260,000 ",Detached,2-Storey,4,1,5,N,1,Attach,Cen,Gas,1-22-21,1-27-21,KING REALTY,CENTURY 21 SM,W5092152
104,Sld,,2,Young,Dr,,Brampton,Brampton W," $1,199,000 "," $1,300,000 ",Detached,2-Storey,4,2,6,y,1,Attach,Cen,Gas,2-9-21,2-15-21,HOMELIFE SU,HOMELIFE SUPE,W5109656
105,Sld,,6,Mussle Whi,Rd,,Brampton,Brampton W," $1,199,000 "," $1,375,000 ",Detached,2-Storey,4,2,4,y,1,Attach,Cen,Gas,2-25-21,3-2-21,BMC CASA RE,RE/MAX REALE,W5128134
106,Sld,N,40,Ness,Rd,,Brampton,Brampton W," $1,199,900 "," $1,275,000 ",Detached,2-Storey,5,2,5,y,1,Built-,Cen,Gas,1-28-21,2-2-21,RE/MAX REAL,RE/MAX REALE,W5096850
107,Sld,,3,Grover,Rd,,Brampton,Brampton W," $1,199,900 "," $1,190,000 ",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,2-2-21,2-4-21,CENTURY 21,CENTURION REA,W5101367
108,Sld,,28,Nomad,Cres,,Brampton,Brampton W," $1,199,900 "," $1,280,000 ",Detached,2-Storey,4,2,4,y,1,Detach,Cen,Gas,3-13-21,3-30-21,RE/MAX REAL,RE/MAX GOLD R,W5150616
109,Sld,,2,lnder Heig,Dr,,Brampton,Brampton W," $1,200,000 "," $1,143,200 ",Detached,Bungaloft,3,2,2,N,1,Detach,Cen,Gas,1-18-21,1-19-21,CENTURY 21,CENTURY 21 GR,W5088813
110,Sld,,9,Seapines,St,,Brampton,Brampton W," $1,200,000 "," $1,265,000 ",Detached,Bungalow,3,2,3,y,1,Detach,Cen,Gas,2-26-21,3-1-21,ROYAL LEPAG,FALCONVIEW RE,W5129536
111,Sld,,27,Geranium,Cres,,Brampton,Brampton W," $1,249,000 "," $1,375,000 ",Detached,2-Storey,4,1,5,y,1,Attach,Cen,Gas,2-1-21,2-5-21,ROYAL LEPAG,EVEREST REALT,W5100679
112,Sld,,379,Royal West,Dr,E,Brampton,Brampton W," $1,249,000 "," $1,290,000 ",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,2-3-21,2-3-21,INTERCITY R,ROYAL CANADIA,W5102654
113,Sld,,24,Maddybeth,Cres,,Brampton,Brampton W," $1,249,000 "," $1,325,000 ",Detached,2-Storey,4,2,4,y,1,Built-,Cen,Gas,2-19-21,2-22-21,CENTURY 21,RE/MAX GOLD R,W5121244
114,Sld,,17,Cooperage,St,,Brampton,Brampton W," $1,269,000 "," $1,269,000 ",Detached,2-Storey,4,0,3,y,1,Built-,Cen,Gas,1-10-21,1-13-21,RIGHT AT HO,"EXP REALTY, B",W5081256
115,Sld,,92,Little Bri,Cres,,Brampton,Brampton W," $1,299,700 "," $1,500,000 ",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,3-8-21,3-8-21,ROYAL LEPAG,ROYAL LEPAGE,W5144276
116,Sld,,44,Stephanie,Ave,,Brampton,Brampton W," $1,299,900 "," $1,285,000 ",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,2-12-21,2-25-21,RE/MAX REAL,RE/MAX GOLD R,W5113402
