#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community,List Price,Sold Price,Type,Style,Br," ""+""",Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
109,Sld,,2,lnder Heig,Dr,,Brampton,Bram West,"$12,00,000","$11,43,200",Detached,Bungaloft,3,2,2,N,1,Detach,Cen,Gas,18-01-2021,19-01-2021,CENTURY 21,CENTURY 21 GR,W5088813
110,Sld,,9,Seapines,St,,Brampton,Bram West,"$12,00,000","$12,65,000",Detached,Bungalow,3,2,3,y,1,Detach,Cen,Gas,26-02-2021,01-03-2021,ROYAL LEPAG,FALCONVIEW RE,W5129536
111,Sld,,27,Geranium,Cres,,Brampton,Bram West,"$12,49,000","$13,75,000",Detached,2-Storey,4,1,5,y,1,Attach,Cen,Gas,01-02-2021,05-02-2021,ROYAL LEPAG,EVEREST REALT,W5100679
112,Sld,,379,Royal West,Dr,E,Brampton,Bram West,"$12,49,000","$12,90,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,03-02-2021,03-02-2021,INTERCITY R,ROYAL CANADIA,W5102654
113,Sld,,24,Maddybeth,Cres,,Brampton,Bram West,"$12,49,000","$13,25,000",Detached,2-Storey,4,2,4,y,1,Built-,Cen,Gas,19-02-2021,22-02-2021,CENTURY 21,RE/MAX GOLD R,W5121244
114,Sld,,17,Cooperage,St,,Brampton,Bram West,"$12,69,000","$12,69,000",Detached,2-Storey,4,0,3,y,1,Built-,Cen,Gas,10-01-2021,13-01-2021,RIGHT AT HO,"EXP REALTY, B",W5081256
115,Sld,,92,Little Bri,Cres,,Brampton,Bram West,"$12,99,700","$15,00,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,08-03-2021,08-03-2021,ROYAL LEPAG,ROYAL LEPAGE,W5144276
116,Sld,,44,Stephanie,Ave,,Brampton,Bram West,"$12,99,900","$12,85,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,12-02-2021,25-02-2021,RE/MAX REAL,RE/MAX GOLD R,W5113402
117,Sld,,57,Clementine,Dr,,Brampton,Bram West,"$12,99,900","$13,46,000",Detached,2-Storey,4,1,5,y,1,Attach,Cen,Gas,16-03-2021,18-03-2021,RE/MAX REAL,RE/MAX REALE,W5153988
118,Sld,,478,    Rivermont      ,Rd,,Brampton,Bram West,"$12,99,900","$15,10,055",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,16-03-2021,21-03-2021,CITYSCAPE R,TRIMAXX REALT,W5154162
119,Sld,,1205,Martin's      ,Blvd,,Brampton,Bram West,"$12,99,900","$13,90,000",Detached,2-Storey,4,0,3,N,1,Built-,Cen,Gas,29-03-2021,31-03-2021,KELLER WILL,RE/MAX GOLD R,W5171366
120,Sld,,20,Kawana,Rd,,Brampton,Bram West,"$12,99,900","$14,10,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,15-04-2021,19-04-2021,RE/MAX REAL,RE/MAX REALTY,W5195593
121,Sld,,18,Dancing Wa,Rd,,Brampton,Bram West,"$13,29,900","$15,20,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,18-02-2021,19-02-2021,CENTURY 21,ROYAL LEPAGE,W5119658
122,Sld,,20,Cooperage,St,,Brampton,Bram West,"$13,48,000","$14,70,000",Detached,2-Storey,4,2,6,y,1,Attach,Cen,Gas,30-04-2021,11-05-2021,RE/MAX REAL,WORLD CLASS R,W5215063
123,Sld,,39,Noble Oaks,Rd,,Brampton,Bram West,"$13,49,000","$14,50,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,13-02-2021,15-02-2021,CENTURY 21,CENTURY 21 PE,W5114765
124,Sld,,36,Noranda,Gres,,Brampton,Bram West,"$13,49,900","$14,60,000",Detached,2-Storey,4,1,4,y,1,Attach,Cen,Gas,17-02-2021,21-02-2021,REALTY EXEC,SAVE MAX SUPR,W5117397
125,Sld,,8,Monument,Tr,,Brampton,Bram West,"$13,99,000","$14,05,000",Detached,Bungaloft,3,1,3,y,1,Attach,Cen,Gas,06-01-2021,05-02-2021,RE/MAX REAL,RIGHT AT HOME,W5076557
126,Sld,,8047,Financial,Dr,,Brampton,Bram West,"$13,99,000","$13,99,000",Detached,2-Storey,4,1,4,y,1,Attach,Cen,Gas,10-02-2021,24-02-2021,RE/MAX GOLD,RE/MAX GOLD R,W5111310
127,Sld,,445,Riverman!,Rd,W,Brampton,Bram West,"$13,99,000","$15,30,000",Detached,2-Storey,5,0,5,y,1,Attach,Cen,Gas,18-03-2021,19-03-2021,RE/MAX REAL,RE/MAX REALE,W5159707
128,Sld,,37,Noble Oaks,Rd,,Brampton,Bram West,"$13,99,000","$13,80,000",Detached,2-Storey,4,1,4,y,1,Built-,Cen,Gas,30-03-2021,01-04-2021,CITYSCAPE R,HOMELIFE MAPL,W5173062
129,Sld,N,51,Messina,Ave,,Brampton,Bram West,"$13,99,900","$14,20,000",Detached,2-Storey,4,1,4,y,1,Built-,Cen,Gas,11-03-2021,13-03-2021,RE/MAX REAL,RE/MAX PROFES,W5147855
130,Sld,,14,Fahey,Dr,,Brampton,Bram West,"$13,99,900","$14,51,001",Detached,2-Storey,4,1,4,y,1,Attach,Cen,Gas,17-03-2021,21-03-2021,RE/MAX REAL,SUTTON GROUP,W5155631
131,Sld,,18,Prairie Cr,Gres,,Brampton,Bram West,"$13,99,900","$15,15,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,18-03-2021,23-03-2021,ROYAL LEPAG,"EXP REALTY, B",W5157113
132,Sld,,6,Gosling,St,,Brampton,Bram West,"$14,00,000","$14,00,000",Detached,2-Storey,4,0,5,y,1,Built-,Cen,Gas,16-02-2021,17-02-2021,EXECUTIVE R,EXECUTIVE REA,W5116758
133,Sld,,6,Prairie Cr,Gres,,Brampton,Bram West,"$14,00,000","$15,40,000",Detached,2-Storey,5,0,3,y,1,Attach,Cen,Gas,07-03-2021,12-03-2021,RE/MAX REAL,TRIMAXX REALT,W5141021
134,Sld,,80,Grouse,Lane,,Brampton,Bram West,"$14,29,000","$14,71,500",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,19-02-2021,23-02-2021,SUTTON GROU,RE/MAX REALE,W5121026
135,Sld,,74,Grouse,Lane,,Brampton,Bram West,"$14,29,900","$14,56,000",Detached,2-Storey,4,2,4,y,1,Attach,Cen,Gas,28-04-2021,05-05-2021,HOMELIFE/MI,RIGHT AT HOME,W5211764
136,Sld,,188,Coastline,Dr,,Brampton,Bram West,"$14,50,000","$14,35,000",Detached,2-Storey,4,0,5,y,1,Attach,Cen,Gas,22-01-2021,02-02-2021,RE/MAX REAL,NEWGEN REALTY,W5091475
137,Sld,,10,Olivia Mar,Rd,,Brampton,Bram West,"$14,50,000","$14,45,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,24-02-2021,04-03-2021,ROYAL LEPAG,HOMELIFE/MIRA,W5126453
138,Sld,,48,Howland,Gres,,Brampton,Bram West,"$14,59,999","$14,60,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,02-03-2021,03-03-2021,KING REALTY,KING REALTY I,W5133780
139,Sld,N,1604,Hailstone,Rd,,Brampton,Bram West,"$14,79,000","$15,50,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,03-03-2021,03-12-2021,SUTTON GROU,PROPERLY HOME,W5134970
140,Sld,,22,Grouse,Lane,,Brampton,Bram West,"$14,95,000","$16,00,000",Detached,2-Storey,5,0,4,y,1,Built-,Cen,Gas,13-02-2021,16-02-2021,ROYAL LEPAG,RE/MAX REALTY,W5114967
141,Sld,,51,Elysian Fi,Gire,,Brampton,Bram West,"$14,99,000","$16,01,000",Detached,2-Storey,4,3,6,y,1,Attach,Cen,Gas,14-01-2021,18-01-2021,STREET MAST,RE/MAX REALE,W5084593
142,Sld,,8,Point Reye,Terr,,Brampton,Bram West,"$14,99,000","$16,00,000",Detached,2-Storey,4,1,6,y,1,Built-,Cen,Gas,08-02-2021,14-02-2021,KELLER WILL,HOMELIFE/MIRA,W5108992
143,Sld,,24,Twin Falls,Rd,,Brampton,Bram West,"$14,99,000","$15,60,000",Detached,2-Storey,5,2,5,y,1,Attach,Cen,Gas,16-02-2021,20-02-2021,HOMELIFE G1,ROYAL CANADIA,W5117135
144,Sld,,24,Coin,St,,Brampton,Bram West,"$14,99,000","$14,85,000",Detached,2-Storey,4,2,5,y,1,Attach,Cen,Gas,06-03-2021,03-08-2021,CENTURY 21,RE/MAX REALTY,W5140511
145,Sld,,42,Messina,Ave,,Brampton,Bram West,"$14,99,000","$15,50,000",Detached,2-Storey,4,1,5,y,1,Built-,Cen,Gas,09-04-2021,17-04-2021,SAVE MAX SU,RE/MAX CHAMPI,W5188210
146,Sld,,69,Sky Harbou,Dr,,Brampton,Bram West,"$14,99,000","$17,60,000",Detached,2-Storey,4,3,6,y,1,Attach,Cen,Gas,24-04-2021,05-01-2021,HOMELIFE/MI,WORLD CLASS R,W5207953
147,Sld,,7,Edmonton,St,,Brampton,Bram West,"$14,99,900","$17,12,500",Detached,2-Storey,4,2,6,y,1,Attach,Cen,Gas,26-01-2021,28-01-2021,CENTURY 21,RE/MAX REALE,W5094587
148,Sld,,42,Mountain R,Rd,,Brampton,Bram West,"$14,99,900","$15,35,000",Detached,2-Storey,4,0,5,y,1,Attach,Cen,Gas,05-02-2021,02-08-2021,RE/MAX REAL,RE/MAX REALE,W5105769
149,Sld,,52,Mediterran,Gres,,Brampton,Bram West,"$14,99,900","$15,75,000",Detached,2-Storey,4,2,6,y,1,Built-,Cen,Gas,03-03-2021,03-06-2021,RE/MAX REAL,IPRO REALTY L,W5134923
150,Sld,,7,Stonecrop,Rd,,Brampton,Bram West,"$14,99,900","$18,20,000",Detached,2-Storey,5,1,5,y,1,Built-,Cen,Gas,30-03-2021,04-01-2021,ROYAL LEPAG,CENTURY 21 PE,W5173600
151,Sld,,1,Lower Tham,Dr,,Brampton,Bram West,"$14,99,900","$15,30,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,22-04-2021,26-04-2021,CENTURY 21,RIGHT AT HOME,W5204841
152,Sld,,1607,Hailstone,Rd,,Brampton,Bram West,"$15,19,000","$15,01,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,24-02-2021,03-04-2021,RE/MAX REAL,CITYSCAPE REA,W5126846
