#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community,List Price,Sold Price,Type,Style,Br," ""+""",Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1,Sld,,38,Scarsdale,Crt,,Brampton,Bram West,"$5,99,000","$6,81,000",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,16-03-2021,23-03-2021,RE/MAX WEST,RE/MAX REALTY,W5153139
2,Sld,,55,Corby,Cres,,Brampton,Bram West,"$5,99,900","$7,67,000",Semi-Detac,Bungalow,3,1,2,N,1,None,Cen,Oil,23-02-2021,26-02-2021,RE/MAX REAL,HOMELIFE/MIRA,W5125388
3,Sld,,7,Manett,Cres,,Brampton,Bram West,"$6,99,000","$8,18,500",Att/Row/Tw,2-Storey,3,1,3,N,1,Attach,Cen,Gas,21-01-2021,26-01-2021,RE/MAX REAL,HOMELIFE/MIRA,W5091089
4,Sld,,76,Fairglen,Ave,,Brampton,Bram West,"$6,99,500","$7,26,000",Semi-Detac,Bungalow,2,1,2,N,1,None,Cen,Gas,16-03-2021,17-03-2021,"EXP REALTY,",ROYALSTARRE,W5153813
5,Sld,,121,Richwood,Cres,,Brampton,Bram West,"$6,99,900","$7,31,000",Att/Row/Tw,2-Storey,3,0,3,N,1,Built-,Cen,Gas,21-02-2021,26-02-2021,RE/MAX REAL,ROYAL LEPAGE,W5123258
6,Sld,N,56,Spadina,Rd,,Brampton,Bram West,"$6,99,900","$7,11,000",Att/Row/Tw,2-Storey,3,0,2,N,1,Built-,Cen,Gas,09-03-2021,29-03-2021,IPRO REALTY,HOMELIFE/MIRA,W5143468
7,Sld,,10,Ridler,Crt,,Brampton,Bram West,"$6,99,900","$7,75,000",Semi-Detac,2-Storey,3,1,2,N,1,Attach,Cen,Gas,20-04-2021,22-04-2021,HOMELIFE MA,RE/MAX REALTY,W5201812
8,Sld,,8,Ridler,Crt,,Brampton,Bram West,"$6,99,999","$7,80,000",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,21-02-2021,27-02-2021,IPRO REALTY,HOMELIFE/MIRA,W5122690
9,Sld,,19,Murray,St,,Brampton,Bram West,"$7,29,000","$7,24,000",Detached,1 1/2 Stor,2,1,2,N,1,None,Cen,Gas,24-01-2021,02-02-2021,CENTURY 21,ROYAL LEPAGE,W5093449
10,Sld,,107,Royal Vist,Rd,,Brampton,Bram West,"$7,49,000","$8,58,000",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,14-01-2021,18-01-2021,HOMELIFE/MI,ROYAL LEPAGE,W5084970
11,Sld,,94,Ecclestone,Dr,,Brampton,Bram West,"$7,49,000","$8,20,000",Detached,2-Storey,3,0,2,N,1,Attach,Cen,Gas,06-03-2021,07-03-2021,CENTURY 21,HOMELIFE MAPL,W5141069
12,Sld,,8,Slater,Circ,,Brampton,Bram West,"$7,49,000","$8,80,000",Detached,Backsplit,3,1,3,y,1,Attach,Cen,Gas,22-04-2021,26-04-2021,HOMELIFE SI,CENTURY 21 LE,W5205729
13,Sld,,21,Merrickvil,Way,,Brampton,Bram West,"$7,50,000","$9,30,000",Att/Row/Tw,2-Storey,4,0,4,y,1,Built-,Cen,Gas,18-03-2021,25-03-2021,PROPERTY MA,SUTTON GROUP,W5157476
14,Sld,,53,Royal Orch,Dr,,Brampton,Bram West,"$7,52,500","$8,25,000",Detached,Bungalow,2,2,2,N,1,Attach,Cen,Gas,11-03-2021,25-03-2021,IPRO REALTY,RE/MAX GOLD R,W5147651
15,Sld,,34,Pefferlaw,Circ,,Brampton,Bram West,"$7,69,500","$8,65,000",Att/Row/Tw,2-Storey,3,1,4,N,1,Built-,Cen,Gas,13-01-2021,14-01-2021,RE/MAX GOLD,HOMELIFE/MIRA,W5083558
16,Sld,,159,Saddletree,Tr,,Brampton,Bram West,"$7,77,000","$8,90,000",Semi-Detac,2-Storey,3,0,4,y,1,Attach,Cen,Gas,17-03-2021,24-03-2021,ROYAL LEPAG,RE/MAX MILLEN,W5154975
17,Sld,,19,October,Pl,,Brampton,Bram West,"$7,79,000","$8,44,000",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,10-02-2021,11-02-2021,IPRO REALTY,HOMELIFE MAPL,W5110391
18,Sld,N,47,Arizona,Dr,,Brampton,Bram West,"$7,85,000","$8,15,000",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,31-01-2021,19-02-2021,RE/MAX GOLD,CENTURY 21 EM,W5106025
19,Sld,,27,Banner,Rd,,Brampton,Bram West,"$7,89,000","$8,70,000",Detached,2-Storey,3,1,4,y,1,Attach,Cen,Gas,07-04-2021,12-04-2021,RE/MAX REAL,SAVE MAX FIRS,W5185347
20,Sld,,39,October,Pl,,Brampton,Bram West,"$7,99,000","$8,00,000",Att/Row/Tw,3-Storey,3,1,4,N,1,Attach,Cen,Gas,28-01-2021,13-02-2021,SAVE MAX Fl,RE/MAX REALE,W5099792
21,Sld,,11,Berringer,Grve,,Brampton,Bram West,"$7,99,000","$8,36,000",Att/Row/Tw,3-Storey,3,1,4,y,1,Built-,Cen,Gas,01-02-2021,08-02-2021,HOMELIFE/MI,"EXP REALTY, B",W5100730
22,Sld,,9,Coastline,Dr,,Brampton,Bram West,"$7,99,000","$8,80,000",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,05-02-2021,10-02-2021,RE/MAX ESCA,CENTURY 21 PA,W5106252
23,Sld,,100,Sky Harbou,Dr,,Brampton,Bram West,"$7,99,000","$9,00,000",Att/Row/Tw,2-Storey,3,0,4,N,1,Built-,Cen,Gas,03-03-2021,08-03-2021,COLDWELL BA,CENTURY 21 GR,W5135489
24,Sld,,44,Arizona,Dr,,Brampton,Bram West,"$7,99,000","$8,35,000",Att/Row/Tw,3-Storey,3,1,4,N,1,Attach,Cen,Gas,24-03-2021,26-03-2021,TRIMAXX REA,HOMELIFE/MIRA,W5165505
25,Sld,,9,October,Pl,,Brampton,Bram West,"$7,99,000","$8,22,500",Att/Row/Tw,3-Storey,3,1,4,y,1,Attach,Cen,Gas,31-03-2021,06-04-2021,RE/MAX REAL,SAVE MAX REAL,W5174822
26,Sld,,37,Hatton,Crt,,Brampton,Bram West,"$7,99,000","$8,92,000",Att/Row/Tw,2-Storey,3,0,3,y,1,Built-,Cen,Gas,15-04-2021,19-04-2021,RE/MAX REAL,"EXP REALTY, B",W5196236
27,Sld,,16,Horsham,St,,Brampton,Bram West,"$7,99,900","$8,20,000",Detached,2-Storey,3,2,4,y,1,Attach,Cen,Gas,06-01-2021,11-01-2021,SAVE MAX PR,SUTTON GROUP,W5077386
28,Sld,N,5,Urbana,Rd,,Brampton,Bram West,"$7,99,900","$8,10,000",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,19-01-2021,26-01-2021,HOMELIFE TO,HOMELIFE/MIRA,W5088314
29,Sld,,41,Royal Orch,Dr,,Brampton,Bram West,"$7,99,900","$9,00,000",Detached,Bungalow-R,2,2,2,N,1,Attach,Cen,Gas,19-03-2021,22-04-2021,RE/MAX CHAM,RE/MAX CHAMPI,W5159143
30,Sld,,8,Isle Royal,Terr,,Brampton,Bram West,"$7,99,900","$9,22,501",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,21-03-2021,22-03-2021,SAVE MAX EL,SAVE MAX ELIT,W5161021
31,Sld,,47,Lady Evely,Cres,,Brampton,Bram West,"$7,99,900","$9,29,500",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,24-03-2021,28-03-2021,RE/MAX REAL,UNIVERSAL REA,W5164629
32,Sld,,10,Temple Man,Rd,,Brampton,Bram West,"$7,99,900","$9,30,000",Att/Row/Tw,2-Storey,3,0,3,y,1,Built-,Cen,Gas,27-04-2021,02-05-2021,ROYAL LEPAG,HOMELIFE G1 R,W5210920
33,Sld,,48,English,St,,Brampton,Bram West,"$7,99,990","$872,000",Semi-Detac,Bungalow-R,3,1,2,N,1,Built-,Cen,Gas,09-02-2021,11-02-2021,SPECTRUM RE,HOMELIFE/MIRA,W5109471
34,Sld,,61,Pefferlaw,Circ,,Brampton,Bram West,"$7,99,999","$9,09,000",Att/Row/Tw,3-Storey,3,1,4,y,1,Built-,Cen,Gas,26-02-2021,04-03-2021,HOMELIFE/MI,CENTURY 21 BE,W5129452
35,Sld,,56,Gammon,Cres,,Brampton,Bram West,"$7,99,999","$8,78,000",Att/Row/Tw,2-Storey,4,0,3,y,1,Attach,Cen,Gas,10-03-2021,15-03-2021,HOMELIFE/MI,SAVE MAX SUPR,W5145469
36,Sld,,22,Hubbell,Rd,,Brampton,Bram West,"$8,00,000","$10,95,000",Semi-Detac,2-Storey,4,0,4,y,1,Attach,Cen,Gas,09-04-2021,11-04-2021,RE/MAX REAL,RE/MAX REALE,W5188687
37,Sld,,5,Berringer,Grve,,Brampton,Bram West,"$8,25,000","$8,18,000",Att/Row/Tw,3-Storey,3,1,4,N,1,Built-,Cen,Gas,07-04-2021,17-04-2021,HOMELIFE TO,TRIMAXX REALT,W5183803
38,Sld,,88,Sky Harbou,Dr,,Brampton,Bram West,"$8,28,800","$9,30,000",Att/Row/Tw,2-Storey,3,0,4,N,1,Attach,Cen,Gas,24-03-2021,31-03-2021,KELLER WILL,CENTURY 21 LE,W5166074
39,Sld,,102,Charcoal,Way,,Brampton,Bram West,"$8,29,900","$8,65,000",Att/Row/Tw,2-Storey,3,1,4,y,1,Attach,Cen,Gas,03-03-2021,16-03-2021,CENTURY 21,ROYAL LEPAGE,W5135362
40,Sld,,35,     Krakow,St,,Brampton,Bram West,"$8,49,900","$8,75,000",Semi-Detac,2-Storey,4,0,3,   y,1,Built-,Cen,Gas,27-01-2021,27-01-2021,RE/MAX REAL,RE/MAX COMMUN,W5095869
41,Sld,,37,Oliana,Way,,Brampton,Bram West,"$8,49,900","$9,20,000",Att/Row/Tw,2-Storey,3,1,3,N,1,Built-,Cen,Gas,04-03-2021,14-03-2021,RE/MAX REAL,HOMELIFE SUPE,W5136630
42,Sld,N,101,Ecclestone,Dr,,Brampton,Bram West,"$8,49,900","$8,55,000",Detached,2-Storey,3,0,3,N,1,Attach,Cen,Gas,18-03-2021,06-04-2021,HOMELIFE CU,HOMELIFE SILV,W5157671
43,Sld,,36,Pearman,Cres,,Brampton,Bram West,"$8,49,999","$8,85,000",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,25-01-2021,25-01-2021,SAVE MAX FO,SAVE MAX SUPR,W5094084
44,Sld,N,9,Shediac,Rd,,Brampton,Bram West,"$8,49,999","$8,60,000",Att/Row/Tw,2-Storey,4,0,3,y,1,Attach,Cen,Gas,01-02-2021,02-02-2021,RIGHT AT HO,RIGHT AT HOME,W5100320
45,Sld,N,100,Aspen Hill,Rd,,Brampton,Bram West,"$8,50,000","$8,50,000",Att/Row/Tw,3-Storey,3,1,3,N,1,Attach,Cen,Gas,13-02-2021,14-02-2021,RIGHT AT HO,CENTURY21 PE,W5115411
46,Sld,,23,Krakow,St,,Brampton,Bram West,"$8,75,000","$9,35,000",Semi-Detac,2-Storey,3,1,4,N,1,Attach,Cen,Gas,06-02-2021,11-02-2021,HOMELIFE G1,HOMELIFE/MIRA,W5106953
47,Sld,N,16,Ecclestone,Dr,,Brampton,Bram West,"$8,79,000","$8,63,000",Detached,2-Storey,3,1,3,y,2,Attach,Cen,Gas,11-03-2021,28-03-2021,IPRO REALTY,ROYAL LEPAGE,W5147922
48,Sld,,15,Sky Harbou,Dr,,Brampton,Bram West,"$8,79,888","$9,25,100",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,13-04-2021,19-04-2021,RE/MAX ROYA,HOMELIFE/MIRA,W5191921
49,Sld,,103,Nathaniel,Cres,,Brampton,Bram West,"$8,79,900","$9,40,000",Semi-Detac,2-Storey,4,1,4,N,1,Attach,Cen,Gas,11-03-2021,16-03-2021,HOMELIFE/MI,TRIMAXX REALT,W5147262
50,Sld,N,39,Nathaniel,Cres,,Brampton,Bram West,"$8,79,900","$8,81,000",Semi-Detac,2-Storey,3,0,4,N,1,Built-,Cen,Gas,30-03-2021,23-04-2021,RE/MAX REAL,REALTRIUM REA,W5172414
51,Sld,,21,Charcoal,Way,,Brampton,Bram West,"$8,79,999","$9,50,555",Semi-Detac,2-Storey,3,1,4,N,1,Built-,Cen,Gas,11-02-2021,16-02-2021,HOMELIFE MA,RE/MAX REALTY,W5111758
52,Sld,N,14,Oakmore,Lane,,Brampton,Bram West,"$8,87,990","$8,88,000",Att/Row/Tw,3-Storey,3,0,4,y,1,Built-,Cen,Gas,02-11-2020,27-01-2021,RE/MAX REAL,CENTURY 21 PE,W4975376
53,Sld,N,66,Millhouse,Mews,,Brampton,Bram West,"$8,88,888","$8,88,888",Att/Row/Tw,2-Storey,3,0,3,y,1,Attach,Cen,Gas,16-04-2021,24-04-2021,KELLER WILL,RIGHT AT HOME,W5198055
54,Sld,,8654,Financial,Dr,,Brampton,Bram West,"$8,89,000","$9,85,000",Att/Row/Tw,3-Storey,4,1,4,y,1,Built-,Cen,Gas,22-02-2021,26-02-2021,RE/MAX REAL,RE/MAX REALTY,W5123837
55,Sld,,12,Tessler,Cres,,Brampton,Bram West,"$8,89,900","$8,75,000",Semi-Detac,2-Storey,3,1,4,N,1,Built-,Cen,Gas,30-03-2021,05-04-2021,CENTURY 21,CENTURY 21 GR,W5172700
56,Sld,,99,Nathaniel,Cres,,Brampton,Bram West,"$8,89,900","$9,50,000",Semi-Detac,2-Storey,3,1,4,y,1,Built-,Cen,Gas,31-03-2021,03-04-2021,SUTTON GROU,RE/MAX REALE,W5174063
57,Sld,,6,Ashdale,Rd,,Brampton,Bram West,"$8,98,000","$9,85,000",Semi-Detac,2-Storey,3,1,4,y,1,Built-,Cen,Gas,28-04-2021,01-05-2021,RE/MAX MILL,ROYAL LEPAGE,W5211888
58,Sld,N,113,Sky Harbou,Dr,,Brampton,Bram West,"$8,99,000","$9,10,000",Att/Row/Tw,2-Storey,3,1,4,y,1,Built-,Cen,Gas,31-12-2020,05-01-2021,RE/MAX REAL,ROYAL LEPAGE,W5072811
59,Sld,,12,Dalbeattie,Dr,,Brampton,Bram West,"$8,99,000","$10,80,000",Att/Row/Tw,2-Storey,4,0,3,y,1,Built-,Non,Gas,11-02-2021,16-02-2021,HOMELIFE/MI,CITYSCAPE REA,W5112413
60,Sld,,143,Royal Orch,Dr,,Brampton,Bram West,"$8,99,000","$9,87,000",Detached,2-Storey,3,2,4,y,1,Attach,Cen,Gas,22-02-2021,25-02-2021,RE/MAX REAL,RE/MAX MILLEN,W5123588
61,Sld,,49,Brushwood,Dr,,Brampton,Bram West,"$8,99,000","$10,50,000",Att/Row/Tw,2-Storey,4,0,3,y,1,Built-,Cen,Gas,03-03-2021,05-03-2021,RE/MAX REAL,CITYSCAPE REA,W5134551
62,Sld,,24,Hubbell,Rd,,Brampton,Bram West,"$8,99,000","$10,90,000",Semi-Detac,2-Storey,4,0,4,y,1,Attach,Cen,Gas,19-03-2021,20-03-2021,RE/MAX REAL,RE/MAX REALE,W5158780
63,Sld,,12,Banner Rd,Rd,,Brampton,Bram West,"$8,99,000","$9,00,000",Detached,2-Storey,4,1,4,y,1,Attach,Cen,Gas,02-04-2021,10-04-2021,HOMELIFE/MI,CENTURY 21 PE,W5178302
64,Sld,,111,Sky Harbou,Dr,,Brampton,Bram West,"$8,99,900","$8,90,000",Att/Row/Tw,2-Storey,3,0,3,y,1,Built-,Cen,Gas,16-01-2021,17-01-2021,RE/MAX GOLD,RE/MAX REALE,W5086122
65,Sld,,42,Tessler,Cres,,Brampton,Bram West,"$8,99,900","$8,75,000",Semi-Detac,2-Storey,3,1,4,y,1,Built-,Cen,Gas,08-02-2021,22-02-2021,NON-TREB BO,RE/MAX REALTY,W5108521
66,Sld,,8622,Financial,Dr,,Brampton,Bram West,"$8,99,900","$9,95,000",Att/Row/Tw,3-Storey,4,0,4,y,1,Attach,Cen,Gas,19-02-2021,20-02-2021,RE/MAX REAL,"ZOLO REALTY,",W5121512
67,Sld,,86,Maddybeth,Cres,,Brampton,Bram West,"$8,99,900","$9,75,000",Detached,2-Storey,3,1,4,y,1,Built-,Cen,Gas,12-03-2021,12-03-2021,CITYSCAPE R,HOME LIFE/MIRA,W5148681
68,Sld,,34,Millhouse,Mews,,Brampton,Bram West,"$8,99,988","$9,80,000",Att/Row/Tw,2-Storey,4,0,3,y,1,Built-,Cen,Gas,15-01-2021,18-01-2021,ZUMIN REAL,ZUMIN REAL ES,W5086062
69,Sld,,46,Rising Hil,Rdge,,Brampton,Bram West,"$8,99,999","$11,00,000",Semi-Detac,2-Storey,4,2,5,y,1,Built-,Cen,Gas,16-01-2021,20-01-2021,ROYAL LEPAG,RE/MAX REALE,W5086312
70,Sld,,2,Merrickvil,Way,,Brampton,Bram West,"$8,99,999","$10,50,000",Att/Row/Tw,2-Storey,3,1,4,y,1,Attach,Cen,Gas,27-01-2021,31-01-2021,RE/MAX REAL,CANADIAN REAL,W5095387
71,Sld,,,Sky Harbou,Dr,,Brampton,Bram West,"$9,29,000","$10,70,000",Att/Row/Tw,2-Storey,3,0,4,y,1,Attach,Cen,Gas,06-03-2021,08-03-2021,RE/MAX REAL,TRIMAXX REALT,W5140272
72,Sld,,43,Edinburgh,Dr,,Brampton,Bram West,"$9,50,000","$11,11,000",Semi-Detac,2-Storey,4,1,3,y,1,Attach,Cen,Gas,13-01-2021,18-01-2021,ROYAL LEPAG,RR GROUP REAL,W5083871
73,Sld,,102,Maddybeth,Cres,,Brampton,Bram West,"$9,74,900","$9,60,000",Detached,2-Storey,3,1,4,y,1,Built-,Cen,Gas,25-03-2021,01-04-2021,HOMELIFE SU,KING REALTY I,W5167840
74,Sld,,70,Millhouse,Mews,,Brampton,Bram West,"$9,75,000","$10,05,000",Att/Row/Tw,2-Storey,4,0,3,y,1,Built-,Cen,Gas,25-03-2021,27-03-2021,RE/MAX PROF,CENTURY 21 GR,W5166659
75,Sld,,16,Pefferlaw,Circ,,Brampton,Bram West,"$9,79,900","$9,67,000",Semi-Detac,2-Storey,3,1,4,N,1,Built-,Cen,Gas,19-04-2021,20-04-2021,NEW AGE REA,HOMELIFE/MIRA,W5200446
76,Sld,,40,Krakow,St,,Brampton,Bram West,"$9,89,000","$10,85,000",Detached,2-Storey,4,2,4,y,1,Attach,Cen,Gas,06-01-2021,07-01-2021,ROYAL LEPAG,TRIMAXX REALT,W5076659
77,Sld,,52,Krakow,St,,Brampton,Bram West,"$9,89,000","$10,51,000",Detached,2-Storey,3,2,4,N,1,Attach,Cen,Gas,05-02-2021,15-02-2021,TRIMAXX REA,TRIMAXX REALT,W5106439
78,Sld,,8644,Financial,Dr,,Brampton,Bram West,"$9,94,900","$9,75,000",Att/Row/Tw,3-Storey,4,1,4,y,1,Attach,Cen,Gas,01-03-2021,09-03-2021,CENTURY 21,"EXP REALTY, B",W5132256
79,Sld,,42,Rising Hil,Rdge,,Brampton,Bram West,"$9,98,888","$11,50,888",Semi-Detac,2-Storey,4,2,5,y,1,Built-,Cen,Gas,02-02-2021,02-02-2021,SAM MCDADI,RE/MAX REALTY,W5101183
80,Sld,,41,Amboise,Cres,,Brampton,Bram West,"$9,99,000","$9,80,000",Detached,2-Storey,3,1,4,y,1,Attach,Cen,Gas,14-02-2021,23-02-2021,HOMELIFE G1,HOMELIFE/MIRA,W5117088
81,Sld,,22,Dalbeattie,Dr,,Brampton,Bram West,"$9,99,900","$10,55,000",Att/Row/Tw,2-Storey,4,0,3,y,1,Attach,Cen,Gas,02-04-2021,07-04-2021,RE/MAX REAL,HOMELIFE/MIRA,W5177928
82,Sld,,63,Polonia,Ave,,Brampton,Bram West,"$9,99,900","$10,35,000",Detached,2-Storey,3,0,3,N,1,Built-,Cen,Gas,08-04-2021,09-04-2021,NEW AGE REA,NEW AGE REAL,W5186439
